key,generic
Low,Rhizaria
Low,Rhizaria
Low,Rhizaria
Low,Bacillariophyta
Low,Chlorophyta
Low,Dinophyceae
Low,Haptophyceae
High,Haptophyceae
High,Haptophyceae
Low,Haptophyceae
Low,Rhizaria
Low,Chlorophyta
Low,Rhizaria
Low,Rhizaria
Low,Rhizaria
Low,Bacillariophyta
High,Chlorophyta
High,Dinophyceae
Low,Bacillariophyta
Low,Chlorophyta
Low,Rhizaria
Low,Chlorophyta
Low,Rhizaria
Low,Rhizaria
Low,Haptophyceae
High,Dinophyceae
Low,Rhizaria
Low,Rhizaria
High,Haptophyceae
Low,Chlorophyta
Low,Haptophyceae
Low,Chlorophyta
Low,Bacillariophyta
Low,Haptophyceae
Low,Haptophyceae
Low,Chlorophyta
Low,Rhizaria
Low,Dinophyceae
Low,Rhizaria
Low,Haptophyceae
Low,Haptophyceae
Low,Dinophyceae
Low,Chlorophyta
Low,Dinophyceae
High,Haptophyceae
Low,Rhizaria
Low,Rhizaria
Low,Haptophyceae
Low,Rhizaria
Low,Rhodophyta
Low,Haptophyceae
Low,Dinophyceae
Low,Chlorophyta
Low,Dinophyceae
High,Dinophyceae
Low,Chlorophyta
Low,Rhizaria
Low,Chlorophyta
Low,Rhizaria
Low,Rhizaria
Low,Chlorophyta
Low,Rhizaria
High,Chlorophyta
Low,Rhizaria
Low,Rhizaria
High,Dinophyceae
Low,Haptophyceae
High,Haptophyceae
Low,Chlorophyta
Low,Rhizaria
Low,Chlorophyta
Low,Rhizaria
High,Dinophyceae
Low,Rhizaria
Low,Dinophyceae
Low,Bacillariophyta
Low,Haptophyceae
Low,Chlorophyta
Low,Haptophyceae
Low,Rhizaria
High,Haptophyceae
Low,Rhizaria
Low,Rhizaria
Low,Rhizaria
High,Haptophyceae
Low,Haptophyceae
Low,Rhizaria
Low,Rhizaria
Low,Rhizaria
Low,Rhizaria
High,Chlorophyta
High,Dinophyceae
High,Dinophyceae
High,Haptophyceae
Low,Rhizaria
Low,Rhizaria
Low,Rhizaria
Low,Rhizaria
Low,Haptophyceae
High,Haptophyceae
Low,Rhizaria
