DSYB	TpMT2	TpMT1	MMETSPstrain
1	0	1	Acanthoeca-like-sp-10tr
0	0	0	Akashiwo-sanguinea-CCCM885
1	0	0	Alexandrium-andersonii-CCMP2222
0	0	0	Alexandrium-fundyense-CCMP1719
1	0	0	Alexandrium-margalefi-AMGDE01CS-322
1	0	0	Alexandrium-minutum-CCMP113
1	0	0	Alexandrium-monilatum-CCMP3105
1	0	0	Alexandrium-tamarense-CCMP1771
0	0	0	Alveolata-sp-CCMP3155
0	0	1	Ammonia-sp
0	0	0	Amoebophrya-sp-Ameob2
1	0	0	Amphidinium-carterae-CCMP1314
1	0	0	Amphidinium-massartii-CS-259
0	0	0	Amphiprora-paludosa-CCMP125
0	0	0	Amphiprora-sp-CCMP467
0	1	0	Amphora-coffeaeformis-CCMP127
0	0	0	Anophryoides-haemophila-AH6
0	0	0	Aplanochytrium-sp-PBS07
0	0	0	Aplanochytrium-stocchinoi-GSBS06
0	0	0	Aristerostoma-sp-ATCC50986
0	0	0	Asterionellopsis-glacialis
0	0	0	Asterionellopsis-glacialis-CCMP134
0	1	0	Asterionellopsis-glacialis-CCMP1581
0	0	0	Astrosyne-radiata-13vi08-1A
0	0	0	Attheya-septentrionalis-CCMP2084
0	0	0	Aulacoseira-subarctica-CCAP1002-5
0	0	0	Aurantiochytrium-limacinum-ATCCMYA-1381
1	0	0	Aureococcus-anophagefferens-CCMP1850
0	0	0	Aureoumbra-lagunensis-CCMP1510
1	0	0	Azadinium-spinosum-3D9
0	0	0	Bathycoccus-prasinos-BCC99000
0	0	0	Bathycoccus-prasinos-CCMP1898
0	0	0	Bathycoccus-prasinos-RCC716
0	0	0	Bicosoecid-sp-ms1
0	0	0	Bigelowiella-longifila-CCMP242
0	0	0	Bigelowiella-natans-CCMP1242
0	0	0	Bigelowiella-natans-CCMP1258-1
0	0	0	Bigelowiella-natans-CCMP1259
0	0	0	Bigelowiella-natans-CCMP2755
0	0	0	Bigelowiella-natans-CCMP623
0	0	0	Blepharisma-japonicum-StockR1072
0	0	1	Bolidomonas-pacifica-CCMP1866
0	0	0	Bolidomonas-pacifica-RCC208
0	0	0	Bolidomonas-sp-RCC1657
0	0	0	Bolidomonas-sp-RCC2347
0	0	1	Cafeteria-roenbergensis-E4-10
1	0	0	Calcidiscus-leptoporus-RCC1130
1	0	1	Ceratium-fusus-PA161109
0	0	0	Chaetoceros-brevis-CCMP164
0	0	1	Chaetoceros-cf-neogracile-RCC1993
0	0	0	Chaetoceros-curvisetus
0	0	0	Chaetoceros-debilis-MM31A-1
0	0	0	Chaetoceros-dichaeta-CCMP1751
0	0	1	Chaetoceros-neogracile-CCMP1317
0	0	1	Chaetoceros-sp-GSL56
0	0	0	Chaetoceros-sp-UNC1202
0	0	0	Chattonella-subsalsa-CCMP2191
0	0	1	Chlamydomonas-chlamydogama-SAG11-48b
0	0	0	Chlamydomonas-euryale-CCMP219
0	0	0	Chlamydomonas-leiostraca-SAG11-49
0	0	1	Chlamydomonascf-sp-CCMP681
0	0	0	Chlorarachnion-reptans-CCCM449
0	1	1	Chromera-velia-CCMP2878
0	0	0	Chromulina-nebulosa-UTEXLB2642
0	1	1	Chroomonas-mesostigmaticacf-CCMP1168
1	0	1	Chrysochromulina-brevifilum-UTEXLB985
1	0	0	Chrysochromulina-ericina-CCMP281
1	0	0	Chrysochromulina-polylepis-CCMP1757
1	0	0	Chrysochromulina-polylepis-UIO037
1	0	0	Chrysochromulina-rotalis-UIO044
1	0	0	Chrysoculter-rhomboideus-RCC1486
0	0	0	Chrysocystis-fragilis-CCMP3189
0	0	0	Chrysoreinhardia-sp-CCMP2950
0	0	0	Chrysoreinhardia-sp-CCMP3193
0	0	0	Climacostomum-virens-StockW-24
1	0	1	Coccolithus-pelagicussspbraarudi-PLY182g
0	0	0	Compsopogon-coeruleus-SAG36-94
0	0	0	Condylostoma-magnum-COL2
0	1	1	Corethron-hystrix-308
0	0	1	Corethron-pennatum-L29A3
1	1	0	Coscinodiscus-wailesii-CCMP2513
0	0	1	Crustomastix-stigmata-CCMP3273
1	0	0	Crypthecodinium-cohnii-Seligo
0	0	0	Cryptomonas-curvata-CCAP979-52
0	0	0	Cryptomonas-paramecium-CCAP977-2a
0	0	0	Cyanoptyche-gloeocystis-SAG4-97
0	0	0	Cyclophora-tenuis-ECT3854
0	1	1	Cyclotella-meneghiniana-CCMP338
0	1	1	Cylindrotheca-closterium-KMMCC:B-181
0	0	1	Dactyliosolen-fragilissimus
0	0	0	Debaryomyces-hansenii-J26
0	1	1	Detonula-confervacea-CCMP353
1	0	0	Dictyocha-speculum-CCMP1381
0	0	0	Dinobryon-sp-UTEXLB2267
1	0	1	Dinophysis-acuminata-DAEP01
0	0	0	Ditylum-brightwellii-GSO103
0	0	0	Ditylum-brightwellii-GSO104
0	0	0	Ditylum-brightwellii-GSO105
0	0	0	Ditylum-brightwellii-Pop1(SS4)
0	0	0	Ditylum-brightwellii-Pop2(SS10)
0	0	1	Dolichomastix-tenuilepis-CCMP3274
0	0	1	Dunaliella-tertiolecta-CCMP1320
1	0	0	Durinskia-baltica-CSIROCS-38
0	0	0	Elphidium-margaritaceum
1	0	0	Emiliania-huxleyi-374
1	0	1	Emiliania-huxleyi-CCMP370
1	0	1	Emiliania-huxleyi-PLYM219
0	0	0	Entomoneis-sp-CCMP2396
0	0	0	Erythrolobus-madagascarensis-CCMP3276
0	0	1	Eucampia-antarctica-CCMP1452
0	0	0	Euplotes-crassus-CT5
0	0	0	Euplotes-focardii-TN1
0	0	0	Euplotes-harpa-FSP1-4
0	0	0	Eutreptiella-gymnastica-NIES-381
1	0	1	Eutreptiella-gymnastica-like-CCMP1594
0	0	1	Exanthemachrysis-gayraliae-RCC1523
0	1	0	Extubocellulus-spinifer-CCMP396
0	0	0	Fabrea-salina
0	0	0	Favella-ehrenbergii-Fehren1
0	0	0	Favella-taraikaensis-FeNarragansettBay
0	0	0	Fibrocapsa-japonica-CCMP1661
0	0	0	Filamoeba-nolandi-NC-AS-23-1
1	0	1	Florenciella-parvula-CCMP2471
0	0	0	Florenciella-parvula-RCC1693
0	0	0	Florenciella-sp-RCC1007
0	0	0	Florenciella-sp-RCC1587
0	0	1	Fragilariopsis-kerguelensis-L2-C3
0	0	1	Fragilariopsis-kerguelensis-L26-C5
1	0	0	Gambierdiscus-australes-CAWD149
0	1	1	Geminigera-cryophila-CCMP2564
0	1	1	Geminigera-sp-CaronLabIsolate
1	0	0	Gephyrocapsa-oceanica-RCC1303
1	0	0	Glenodinium-foliaceum-CCAP1116-3
0	0	0	Gloeochaete-witrockiana-SAG46-84
0	0	0	Gloeochaete-wittrockiana-SAG46-84
0	0	0	Goniomonas-pacifica-CCMP1869
0	0	0	Goniomonas-sp-m
1	0	0	Gonyaulax-spinifera-CCMP409
0	0	0	Grammatophora-oceanica-CCMP410
0	0	1	Guillardia-theta-CCMP2712
0	0	0	Gymnochlora-sp-CCMP2014
0	0	1	Hanusia-phi-CCMP325
0	0	0	Helicotheca-tamensis-CCMP826
0	0	0	Hemiselmis-andersenii-CCMP1180
0	0	0	Hemiselmis-andersenii-CCMP439
0	0	0	Hemiselmis-andersenii-CCMP441
0	0	0	Hemiselmis-andersenii-CCMP644
0	0	0	Hemiselmis-rufescens-PCC563
0	0	0	Hemiselmis-tepida-CCMP443
0	0	1	Hemiselmis-virescens-PCC157
1	0	0	Heterocapsa-arctica-CCMP445
1	0	0	Heterocapsa-rotundata-SCCAPK-0483
1	0	1	Heterocapsa-triquestra-CCMP448
0	0	0	Heterosigma-akashiwo-CCMP2393
0	0	0	Heterosigma-akashiwo-CCMP3107
0	0	0	Heterosigma-akashiwo-CCMP452
0	0	0	Heterosigma-akashiwo-NB
1	0	1	Imantonia-sp-RCC918
1	0	1	Isochrysis-galbana-CCMP1323
1	0	0	Isochrysis-sp-CCMP1244
1	0	0	Isochrysis-sp-CCMP1324
1	0	0	Karenia-brevis-CCMP2229
1	0	0	Karenia-brevis-SP1
1	0	0	Karenia-brevis-SP3
1	0	0	Karenia-brevis-Wilson
1	0	0	Karlodinium-micrum-CCMP2283
1	0	1	Kryptoperidinium-foliaceum-CCMP1326
0	0	0	Lankesteria-abbottii-GrapplerInletBC
0	0	0	Leptocylindrus-danicus-CCMP1856
0	1	0	Leptocylindrus-danicusvar-apora-B651
0	0	0	Leptocylindrus-danicusvar-danicus-B650
1	0	0	Licmophora-paradoxa-CCMP2313
1	0	1	Lingulodinium-polyedra-CCMP1738
0	0	0	Litonotus-pictus-P1
0	0	0	Lotharella-amoebiformis-CCMP2058
0	0	0	Lotharella-globosa-CCCM811
0	0	0	Lotharella-globosa-LEX01
0	0	0	Lotharella-oceanica-CCMP622
0	0	1	Madagascaria-erythrocladiodes-CCMP3234
0	0	0	Mallomonas-sp-CCMP3275
0	0	0	Mantoniella-antarctica-SL-175
0	0	0	Mantoniella-sp-CCMP1436
0	0	0	Mayorella-sp-BSH-02190019
1	0	0	Mesodinium-pulex-SPMC105
0	0	0	Micromonas-pusilla-CCAC1681
0	0	0	Micromonas-pusilla-CCMP1723
0	0	0	Micromonas-pusilla-CCMP494
0	0	0	Micromonas-pusilla-RCC1614
0	0	0	Micromonas-pusilla-RCC2306
0	0	0	Micromonas-sp-CCMP1646
0	0	0	Micromonas-sp-CCMP2099
0	0	0	Micromonas-sp-CS-222
0	0	0	Micromonas-sp-NEPCC29
0	0	0	Micromonas-sp-RCC451
0	0	0	Micromonas-sp-RCC472
0	0	0	Minchinia-chitonis
0	0	0	Minutocellus-polymorphus-CCMP3303
0	1	1	Minutocellus-polymorphus-NH13
0	0	0	Minutocellus-polymorphus-RCC2270
0	1	1	Myrionecta-rubra-CCMP2563
0	0	0	Neobodo-designis-CCAP1951-1
0	0	1	Neoparamoeba-aestuarina-SoJaBioB1-5-56-2
0	0	1	Nephroselmis-pyriformis-CCMP717
1	1	0	Nitzschia-punctata-CCMP561
0	1	1	Nitzschia-sp-RCC80
1	0	0	Noctiluca-scintillans
0	0	0	Norrisiella-sphaerica-BC52
0	0	0	Ochromonas-sp-BG-1
0	0	0	Ochromonas-sp-CCMP1393
0	0	0	Ochromonas-sp-CCMP1899
0	0	0	Odontella-aurita-isolate1302-5
0	0	0	Odontella-sinensis-Grunow1884
0	0	0	Ostreococcus-lucimarinus-clade-A-BCC118000
0	0	0	Ostreococcus-mediterraneus-clade-D-RCC1107
0	0	0	Ostreococcus-mediterraneus-clade-D-RCC1621
0	0	0	Ostreococcus-mediterraneus-clade-D-RCC2572
0	0	0	Ostreococcus-mediterraneus-clade-D-RCC2573
0	0	0	Ostreococcus-mediterraneus-clade-D-RCC2593
0	0	0	Ostreococcus-mediterraneus-clade-D-RCC2596
0	0	0	Oxyrrhis-marina
0	0	0	Oxyrrhis-marina-CCMP1788
0	0	0	Oxyrrhis-marina-CCMP1795
0	0	0	Oxyrrhis-marina-LB1974
0	0	1	Palpitomonas-bilix-NIES-2562
0	0	0	Paramoeba-atlantica-621-1-CCAP1560-9
0	0	0	Paraphysomonas-bandaiensis-CaronLabIsolate
0	0	0	Paraphysomonas-imperforata-PA2
0	0	0	Partenskyella-glossopodia-RCC365
0	0	0	Pavlova-gyrans-CCMP608
0	0	1	Pavlova-lutheri-RCC1537
0	0	0	Pavlova-sp-CCMP459
1	0	0	Pelagococcus-subviridis-CCMP1429
1	0	0	Pelagodinium-bii-RCC1491
0	0	1	Pelagomonas-calceolata-CCMP1756
0	0	1	Pelagomonas-calceolata-RCC969
0	0	0	Percolomonas-cosmopolitus-AE-1(ATCC50343)
0	0	0	Percolomonas-cosmopolitus-WS
1	0	0	Peridinium-aciculiferum-PAER-2
0	0	0	Perkinsus-chesapeaki-ATCCPRA-65
0	0	0	Perkinsus-marinus-ATCC50439
0	0	0	Pessonella-sp
1	0	1	Phaeocystis-antarctica-CCMP1374
1	0	1	Phaeocystis-antarctica-CaronLabIsolate
0	0	1	Phaeocystis-cordata-RCC1383
1	0	1	Phaeocystis-sp-CCMP2710
0	0	0	Phaeomonas-parva-CCMP2877
0	0	1	Picochlorum-oklahomensis-CCMP2329
0	0	0	Picochlorum-sp-RCC944
0	0	0	Picocystis-salinarum-CCMP1897
0	0	1	Pinguiococcus-pyrenoidosus-CCMP2078
0	0	0	Platyophrya-macrostoma-WH
1	0	0	Pleurochrysis-carterae-CCMP645
1	0	0	Polarella-glacialis-CCMP1383
1	0	0	Polarella-glacialis-CCMP2088
0	0	0	Polytomella-parva-SAG63-3
0	0	0	Porphyridium-aerugineum-SAG1380-2
1	0	0	Prasinococcus-capsulatus-CCMP1194
0	0	1	Prasinoderma-coloniale-CCMP1413
0	0	0	Prasinoderma-singularis-RCC927
0	1	1	Proboscia-alata-PI-D3
0	0	1	Proboscia-inermis-CCAP1064-1
0	0	0	Prorocentrum-lima-CCMP684
0	0	0	Prorocentrum-micans-CCCM845
1	0	0	Prorocentrum-minimum-CCMP1329
1	0	0	Prorocentrum-minimum-CCMP2233
0	0	1	Proteomonas-sulcata-CCMP704
1	0	0	Protoceratium-reticulatum-CCCM535=CCMP1889
0	0	0	Protocruzia-adherens-Boccale
1	0	0	Prymnesium-parvum-Texoma1
0	0	0	Pseudo-nitzschia-arenysensis-B593
1	1	1	Pseudo-nitzschia-australis-1024910AB
1	1	0	Pseudo-nitzschia-delicatissima-B596
1	1	0	Pseudo-nitzschia-delicatissima-UNC1205
1	0	0	Pseudo-nitzschia-fraudulenta-WWA7
0	0	1	Pseudo-nitzschia-heimii-UNC1101
1	1	1	Pseudo-nitzschia-pungens-cf-cingulata
1	1	1	Pseudo-nitzschia-pungens-cf-pungens
0	0	0	Pseudokeronopsis-sp-Brazil
0	0	0	Pseudokeronopsis-sp-OXSARD2
1	0	0	Pseudopedinella-elastica-CCMP716
0	0	0	Pteridomonas-danica-PT
0	0	1	Pterosperma-sp-CCMP1384
0	1	1	Pycnococcus-provasolii-RCC2336
0	1	0	Pycnococcus-provasolii-RCC251
0	1	1	Pycnococcus-provasolii-RCC733
0	1	1	Pycnococcus-provasolii-RCC931
0	0	1	Pycnococcus-sp-CCMP1998
0	0	0	Pyramimonas-amylifera-CCMP720
0	0	1	Pyramimonas-obovata-CCMP722
0	0	1	Pyramimonas-parkeae-CCMP726
0	0	1	Pyramimonas-sp-CCMP2087
0	0	0	Pyrocystis-lunula-CCCM517
1	0	0	Pyrodinium-bahamense-pbaha01
0	0	1	Rhizochromulina-marinacf-CCMP1243
0	0	1	Rhizosolenia-setigera-CCMP1694
0	0	0	Rhodella-maculata-CCMP736
0	0	0	Rhodomonas-abbreviata-CaronLabIsolate
0	0	0	Rhodomonas-lens-RHODO
0	0	1	Rhodomonas-salina-CCMP1319
0	0	0	Rhodomonas-sp-CCMP768
0	0	0	Rhodosorus-marinus-CCMP769
0	0	0	Rhodosorus-marinus-UTEXLB2760
0	0	0	Rosalina-sp
0	0	0	Sarcinochrysis-sp-CCMP770
0	0	0	Schizochytrium-aggregatum-ATCC28209
1	0	0	Scrippsiella-hangoei-SHTV-5
1	0	0	Scrippsiella-hangoei-like-SHHI-4
1	0	0	Scrippsiella-trochoidea-CCMP3099
1	0	0	Scyphosphaera-apsteinii-RCC1455
1	1	0	Skeletonema-costatum-1716
1	1	0	Skeletonema-dohrnii-SkelB
0	1	0	Skeletonema-grethea-CCMP1804
1	1	1	Skeletonema-japonicum-CCMP2506
1	1	0	Skeletonema-marinoi-FE60
1	1	0	Skeletonema-marinoi-FE7
1	0	0	Skeletonema-marinoi-SM1012Den-03
1	1	0	Skeletonema-marinoi-SM1012Hels-07
1	1	0	Skeletonema-marinoi-UNC1201
1	1	0	Skeletonema-marinoi-skelA
0	1	0	Skeletonema-menzelii-CCMP793
1	0	0	Sorites-sp
1	0	0	Spumella-elongata-CCAP955-1
