DSYB	TpMT2	Both	origin	name	multiplicity	edge_num	like_weight_ratio	post_prob	likelihood	marginal_like	distal_length	pendant_length	classification	map_ratio	map_overlap	map_identity	edge_name	genus	family	order	class	norank	norank	kingdom	generic
1	0	0	query.align	HQ869250.1.866_U_10_S55_476	1	452	1	1	-24762	-24764.4	0.124805	0.0799119	NA	NA	NA	NA	MMETSP0105_Acanthoeca_like_sp_10tr	Acanthoeca	Acanthoecidae	Choanoflagellida				Eukaryota	Choanoflagellida
0	0	0	query.align	HQ869830.1.860_U_10_S55_40089	1	614	1	1	-24759.6	-24762.4	0.100584	0.132396	NA	NA	NA	NA	MMETSP0123_Favella_ehrenbergii_Fehren1	Favella	Xystonellidae	Tintinnida	Spirotrichea			Eukaryota	Spirotrichea
0	0	0	query.align	KJ760597.1.1794_U_M357_S21_124683	1	493	1	1	-23453.2	-23456.2	0.278856	0.131991	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	EU500152.1.842_U_M356_S18_20942	1	8	1	1	-26296.5	-26299.8	0.0032407	0.0330166	NA	NA	NA	NA	MMETSP1173_Rhizochromulina_marinacf_CCMP1243	Rhizochromulina		Rhizochromulinales	Dictyochophyceae			Eukaryota	Dictyochophyceae
0	0	0	query.align	EF527121.1.1804_U_19_S64_31988	1	599	1	1	-24388.8	-24391	0.0554465	0.0349327	NA	NA	NA	NA	MMETSP1018_Anophryoides_haemophila_AH6	Anophryoides	Orchitophryidae	Philasterida	Oligohymenophorea			Eukaryota	Oligohymenophorea
0	0	0	query.align	JX098979.1.1739_U_42_S87_9619	1	451	1	1	-26760.2	-26763.4	0.100582	0.153711	NA	NA	NA	NA	MMETSP0232_Debaryomyces_hansenii_J26	Debaryomyces	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Fungi	Eukaryota	Ascomycota
0	0	0	query.align	HQ867790.1.877_U_M365_S20_91574	1	493	1	1	-27026.9	-27031.1	0.228229	0.248868	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	JQ226459.1.1612_U_14_S59_61491	1	493	1	1	-26827.6	-26830.1	0.213985	0.0361244	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	JN832807.1.936_U_M356_S18_105286	1	493	1	1	-24818.4	-24821.8	0.228318	0.164811	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	KJ760401.1.1794_U_M355_S26_550	1	451	0.851259	0.902669	-24089.6	-24096.2	0.142681	0.533036	NA	NA	NA	NA	MMETSP0232_Debaryomyces_hansenii_J26	Debaryomyces	Debaryomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Fungi	Eukaryota	Ascomycota
0	0	0	query.align	GU824805.1.1074_U_M355_S26_560	1	134	1	1	-26504.1	-26506.6	0.030788	0.0204114	NA	NA	NA	NA	MMETSP1429_Chaetoceros_sp_UNC1202	Chaetoceros	Chaetocerotaceae	Chaetocerotales	Coscinodiscophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	1	0	query.align	KC583079.1.1764_U_11_S56_5461	1	394	1	1	-23585.6	-23588.7	0.00433842	0.00590264	NA	NA	NA	NA	MMETSP0933_Bathycoccus_prasinos_BCC99000	Bathycoccus	Bathycoccaceae	Mamiellales	Mamiellophyceae	Chlorophyta	Viridiplantae	Eukaryota	Chlorophyta
0	0	0	query.align	AF363187.1.1785_U_15_S60_3557	1	661	0.966265	0.972003	-26067.5	-26070.8	0.248382	0.16965	NA	NA	NA	NA	MMETSP0942_Cafeteria_roenbergensis_E4_10	Cafeteria	Cafeteriaceae	Bicosoecida				Eukaryota	Bicosoecida
1	0	0	query.align	GU823958.1.1060_U_M356_S18_15355	1	452	1	1	-25994.5	-25997.1	0.136414	0.1059	NA	NA	NA	NA	MMETSP0105_Acanthoeca_like_sp_10tr	Acanthoeca	Acanthoecidae	Choanoflagellida				Eukaryota	Choanoflagellida
0	0	0	query.align	New.ReferenceOTU212_M358_S15_58146	1	493	1	1	-26834.9	-26838	0.135109	0.116562	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	EU793925.1.1594_U_M360_S11_10789	1	493	1	1	-26494.7	-26497.8	0.191186	0.122082	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	JN048119.1.1814_U_26_S71_68204	1	629	1	1	-26242.9	-26246	0.0754085	0.1733	NA	NA	NA	NA	MMETSP0086_Unidentifiedeukaryote_sp_D1								Unidentified
1	0	0	query.align	GU819683.1.1232_U_M369_S9_56432	1	579	1	1	-26747.9	-26751.1	0.0779852	0.154712	NA	NA	NA	NA	MMETSP1439_Gonyaulax_spinifera_CCMP409	Gonyaulax	Gonyaulacaceae	Gonyaulacales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	KJ763464.1.1800_U_39_S84_15989	1	493	1	1	-26907.5	-26910.1	0.225701	0.0482395	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	1	query.align	KJ577845.1.1641_U_10_S55_12760	1	211	0.983864	0.978482	-26908.1	-26911	0.191715	0.104956	NA	NA	NA	NA	MMETSP1066_Coscinodiscus_wailesii_CCMP2513	Coscinodiscus	Coscinodiscaceae	Coscinodiscales	Coscinodiscophyceae	Bacillariophyta		Eukaryota	Bacillariophyta
0	0	0	query.align	HQ866589.1.901_U_12_S57_55137	1	661	0.995	0.994687	-26039.9	-26043	0.245409	0.142447	NA	NA	NA	NA	MMETSP0942_Cafeteria_roenbergensis_E4_10	Cafeteria	Cafeteriaceae	Bicosoecida				Eukaryota	Bicosoecida
0	0	0	query.align	HQ869237.1.867_U_M369_S9_362	1	493	1	1	-26401.9	-26405.5	0.140028	6.11352e-06	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
1	0	0	query.align	AJ246274_10_S55_3198	1	250	0.9528	0.977817	-26559.7	-26562	0.0341142	0.00819888	NA	NA	NA	NA	MMETSP0287_Chrysochromulina_rotalis_UIO044	Chrysochromulina	Chrysochromulinaceae	Prymnesiales	Haptophyceae			Eukaryota	Haptophyceae
0	0	0	query.align	JX188303.1.1756_U_11_S56_4830	1	493	1	1	-26442.2	-26445.1	0.136049	0.0780431	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	HQ865453.1.884_U_M356_S18_71120	1	493	1	1	-26957.1	-26960.2	0.230481	0.110614	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
0	0	0	query.align	KC582887.1.1798_U_17_S62_515	1	493	1	1	-26904.1	-26906.7	0.225397	0.039799	NA	NA	NA	NA	MMETSP0795_Amoebophrya_sp_Ameob2	Amoebophyra	Goniodomaceae	Syndiniales	Dinophyceae			Eukaryota	Dinophyceae
