origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity,edge_name
query.align,HQ869462.1.867_U_22_S67_18022,1,486,1,1,-16658.9,-16663.9,0.0256095,0.370347,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,JQ782029.1.1812_U_32_S77_17701,1,276,0.99659,0.998365,-16332.7,-16336.3,0.249446,0.224739,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,EU287796.1.1798_U_M357_S21_51622,1,481,0.812676,0.951665,-16083.9,-16089.1,0.299644,0.382962,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,GU969206.1.1701_U_M357_S21_32672,1,499,0.932548,0.974626,-15587.1,-15593.8,0.139014,0.545475,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,AJ561116.1.1817_U_14_S59_19864,1,486,0.969101,0.98737,-16805,-16808.5,0.0603862,0.239371,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,AB275052.1.1739_U_10_S55_35560,1,486,1,1,-16599.9,-16603,0.0162968,0.18417,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,HQ868971.1.879_U_28_S73_1149,1,276,1,1,-16203.4,-16206.3,0.244391,0.150415,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,JN811189.1.1717_U_M357_S21_37192,1,481,1,1,-16414.4,-16418.4,0.00322833,0.104788,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,HQ868494.1.877_U_15_S60_7633,1,499,0.930537,0.972439,-15595.4,-15602.2,0.141754,0.552155,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,AB695480.1.1763_U_30_S75_8670,1,418,0.922493,0.914357,-16494.7,-16496.4,0.0427065,0.0467009,NA,NA,NA,NA,|MMETSP0101_Pteridomonas_danica_PT_35-1382
query.align,GU823161.1.1076_U_13_S58_5032,1,391,1,1,-16362.2,-16365.8,7.6322e-06,0.111484,NA,NA,NA,NA,|MMETSP0716_Chaetoceros_curvisetus_25-1542
query.align,HQ870129.1.849_U_M364_S14_29941,1,160,1,1,-16600.7,-16603.6,0.0668499,0.140153,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,GU821254.1.1407_U_M360_S11_72137,1,481,0.997025,0.999145,-16558.3,-16563.3,0.257953,0.356341,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,HQ867323.1.882_U_11_S56_534,1,499,0.996448,0.998076,-15996.5,-16003,0.108431,0.522568,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,GU819408.1.1363_U_M356_S18_78679,1,270,0.870212,0.924437,-16036.4,-16041.3,0.298068,0.352498,NA,NA,NA,NA,|MMETSP0209_Litonotus_pictus_P1_60-1484
query.align,GU385611.1.1712_U_15_S60_13733,1,486,0.995632,0.998433,-16304.9,-16308.8,0.0510404,0.288385,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,HQ865753.1.880_U_16_S61_15950,1,160,0.945221,0.929171,-16305.7,-16310.3,0.185941,0.337581,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,JN098230.1.1702_U_33_S78_25641,1,190,1,1,-16384.8,-16388.4,6.5051e-06,0.0542546,NA,NA,NA,NA,|MMETSP0196_Alexandrium_fundyense_CCMP1719_24-1540
query.align,KJ760762.1.1798_U_10_S55_9985,1,499,0.900796,0.963678,-15182.6,-15189.3,0.142373,0.545555,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,GU823519.1.1072_U_M371_S23_80517,1,370,0.938782,0.943883,-16521.3,-16523.1,0.00830356,0.0739493,NA,NA,NA,NA,|DQ0111611_Skeletonema_menzellii_52-1575
query.align,EU793224.1.1591_U_M360_S11_79322,1,160,1,1,-16565.8,-16568.8,0.125551,0.178208,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KC488528.1.1690_U_33_S78_46383,1,276,0.998965,0.998765,-16490,-16492.6,0.280442,0.115484,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,EF172798.1.1603_U_18_S63_52706,1,160,0.998727,0.998313,-15595.6,-15599.1,0.16505,0.233543,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,HE610130.1.1777_U_4_S49_52255,1,27,0.988298,0.991108,-16412.5,-16415.1,8.96568e-06,0.120575,NA,NA,NA,NA,|KT8609161_Tetraselmis_sp_RCC1755_12-1535
query.align,KJ759736.1.1807_U_M358_S15_110899,1,276,1,1,-16438.5,-16441.6,0.207763,0.188906,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,EF527109.1.1755_U_M364_S14_34710,1,193,1,1,-16448.8,-16453,9.74899e-06,0.0493704,NA,NA,NA,NA,|AF0221921_Tripos_tenuis_MUCC248_80-1593
query.align,AF399163.1.1682_U_M370_S22_60708,1,261,0.913792,0.967577,-16163.8,-16166.8,0.0916016,0.198901,NA,NA,NA,NA,|MMETSP0123_Favella_ehrenbergii_Fehren1_75-1571
query.align,EU446348_10_S55_10093,1,119,0.951559,0.956008,-16535.9,-16537.8,0.0151657,0.0982743,NA,NA,NA,NA,|KJ5401961_Chrysochromulina_sp_CCMP291_1-1514
query.align,KJ763131.1.1800_U_M356_S18_35847,1,160,1,1,-16520.8,-16523.4,0.114803,0.123409,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,GU825224_10_S55_35685,1,84,1,1,-16379.8,-16382.6,0.00194844,0.0999579,NA,NA,NA,NA,|EU1274751_Phaeocystis_globosa_30-1554
query.align,FN690443.1.1696_U_6_S51_24505,1,486,1,1,-16608,-16611,0.0482949,0.185309,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,KF129994_M356_S18_110055,1,136,0.905641,0.907194,-16469.3,-16472.4,0.0270015,0.200319,NA,NA,NA,NA,|KU9002241_Prymnesium_parvum_CCAP946_80-1606
query.align,KJ759629.1.1793_U_M356_S18_11791,1,499,0.846981,0.938332,-15531.5,-15538.6,0.141322,0.57907,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,HQ866870.1.880_U_11_S56_41114,1,160,0.984899,0.990958,-16425,-16427.7,0.196463,0.142224,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
