origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity,edge_name
query.align,New.ReferenceOTU148_32_S77_58245,1,188,0.324534,0.414477,-16029.3,-16044.3,0.0950693,1.3919,NA,NA,NA,NA,|MMETSP0229_Pyrocystis_lunula_CCCM517_58-1574
query.align,HQ852058.1.1772_U_5_S50_28748,1,547,0.309028,0.443653,-16490.5,-16497.1,0.0519492,0.546811,NA,NA,NA,NA,|MMETSP1086_Cyanoptyche_gloeocystis_SAG4_97_1-1486
query.align,New.ReferenceOTU67_M370_S22_64388,1,206,0.117277,0.141638,-16464.9,-16467.3,5.72608e-06,0.204194,NA,NA,NA,NA,|EF4925001_Heterocapsa_pygmaea_CCMP1322_24-1544
query.align,AY664979.1.1755_U_M359_S10_75322,1,173,0.205887,0.249581,-16533,-16534.4,0.00249813,0.052744,NA,NA,NA,NA,|KT8609541_Gymnodinium_sp_RCC2545_1-1508
query.align,AF107091_19_S64_2560,1,136,0.557241,0.370497,-16438.2,-16441,0.00672053,0.0890036,NA,NA,NA,NA,|KU9002241_Prymnesium_parvum_CCAP946_80-1606
query.align,HQ869462.1.867_U_22_S67_18022,1,486,1,1,-16658.9,-16663.9,0.0256095,0.370347,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,HQ867422.1.873_U_36_S81_22939,1,547,0.236203,0.155283,-16627.9,-16632.3,0.0807405,0.260165,NA,NA,NA,NA,|MMETSP1086_Cyanoptyche_gloeocystis_SAG4_97_1-1486
query.align,JQ782029.1.1812_U_32_S77_17701,1,276,0.99659,0.998365,-16332.7,-16336.3,0.249446,0.224739,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,EU287796.1.1798_U_M357_S21_51622,1,481,0.812676,0.951665,-16083.9,-16089.1,0.299644,0.382962,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,FN690517.1.1696_U_11_S56_16580,1,539,0.603786,0.686773,-16150,-16153.1,0.0119844,0.232132,NA,NA,NA,NA,|MMETSP0114_Goniomonas_sp_m_48-1566
query.align,EF527068.1.1315_U_14_S59_33025,1,535,0.307324,0.448589,-16277.9,-16279.3,0.013957,0.0811856,NA,NA,NA,NA,|MMETSP0986_Unidentifiedeukaryote_sp_CCMP2293_33-1543
query.align,GU823431.1.1219_U_M362_S13_30573,1,288,0.246147,0.257358,-16304.7,-16309.3,0.148388,0.320673,NA,NA,NA,NA,|MMETSP0962_Schizochytrium_aggregatum_ATCC28209_36-1532
query.align,KF129707.1.1753_U_M368_S12_1469,1,198,0.138749,0.230215,-13897.3,-13903.6,9.84438e-06,0.602919,NA,NA,NA,NA,|AJ4155111_Gonyaulax_polyedra_58-1575
query.align,GU969206.1.1701_U_M357_S21_32672,1,499,0.932548,0.974626,-15587.1,-15593.8,0.139014,0.545475,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,KJ763769.1.1798_U_M368_S12_37222,1,206,0.130885,0.196923,-16484,-16485.9,5.72608e-06,0.150235,NA,NA,NA,NA,|EF4925001_Heterocapsa_pygmaea_CCMP1322_24-1544
query.align,AY046646.1.1188_U_10_S55_11719,1,390,0.880812,0.834936,-16039.9,-16042.4,0.056332,0.102756,NA,NA,NA,NA,|MMETSP1435_Chaetoceros_brevis_CCMP164_9-1520
query.align,AJ561116.1.1817_U_14_S59_19864,1,486,0.969101,0.98737,-16805,-16808.5,0.0603862,0.239371,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,AB275052.1.1739_U_10_S55_35560,1,486,1,1,-16599.9,-16603,0.0162968,0.18417,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,EU818135.1.1120_U_M356_S18_16386,1,236,0.236149,0.380316,-15964.7,-15970.5,0.0199355,0.508929,NA,NA,NA,NA,|EF4924961_Symbiodinium_microadriaticum_NEPCC737_75-1596
query.align,AF203894.1.1766_U_11_S56_5904,1,150,0.202515,0.143834,-16637.1,-16647.5,0.163944,0.839984,NA,NA,NA,NA,|MMETSP0313_Porphyridium_aerugineum_SAG1380_2_81-1587
query.align,FJ409608.1.1831_U_2_S47_13557,1,137,0.380608,0.381649,-15895.7,-15903.2,0.0754829,0.597337,NA,NA,NA,NA,|KU9002241_Prymnesium_parvum_CCAP946_80-1606
query.align,HQ868971.1.879_U_28_S73_1149,1,276,1,1,-16203.4,-16206.3,0.244391,0.150415,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,JN811189.1.1717_U_M357_S21_37192,1,481,1,1,-16414.4,-16418.4,0.00322833,0.104788,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,HQ868494.1.877_U_15_S60_7633,1,499,0.930537,0.972439,-15595.4,-15602.2,0.141754,0.552155,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,GU819735.1.1196_U_M355_S26_4303,1,218,0.16126,0.120014,-15877.3,-15887,7.46398e-06,0.825567,NA,NA,NA,NA,|MMETSP0223_Akashiwo_sanguinea_CCCM885_94-1616
query.align,GU820441.1.1196_U_M367_S17_72,1,218,0.16126,0.120014,-15877.3,-15887,7.46398e-06,0.825567,NA,NA,NA,NA,|MMETSP0223_Akashiwo_sanguinea_CCCM885_94-1616
query.align,GU822947.1.1074_U_M355_S26_84,1,317,0.842871,0.870303,-16271.3,-16273.7,0.00181097,0.178414,NA,NA,NA,NA,|MMETSP0693_Thalassionema_nitzschioides_23-1547
query.align,New.ReferenceOTU0_M370_S22_10364,1,165,0.480475,0.412211,-16566.8,-16573.5,6.82063e-06,0.51362,NA,NA,NA,NA,|U523571_Scrippsiella_nutricula_79-1600
query.align,JN090875.1.1798_U_M360_S11_21412,1,218,0.345615,0.345004,-16506.7,-16508.6,0.0309701,0.101308,NA,NA,NA,NA,|MMETSP0223_Akashiwo_sanguinea_CCCM885_94-1616
query.align,KJ759309.1.1794_U_M372_S16_57879,1,197,0.22787,0.388741,-16328.1,-16332.5,0.00500817,0.386536,NA,NA,NA,NA,|AJ4155111_Gonyaulax_polyedra_58-1575
query.align,KJ758171.1.1798_U_M363_S24_112470,1,173,0.197223,0.222317,-16549.8,-16551.3,0.00101645,0.0788651,NA,NA,NA,NA,|KT8609541_Gymnodinium_sp_RCC2545_1-1508
query.align,AB695480.1.1763_U_30_S75_8670,1,418,0.922493,0.914357,-16494.7,-16496.4,0.0427065,0.0467009,NA,NA,NA,NA,|MMETSP0101_Pteridomonas_danica_PT_35-1382
query.align,GU823161.1.1076_U_13_S58_5032,1,391,1,1,-16362.2,-16365.8,7.6322e-06,0.111484,NA,NA,NA,NA,|MMETSP0716_Chaetoceros_curvisetus_25-1542
query.align,HM135065.1.1732_U_M356_S18_67440,1,276,0.843275,0.827097,-16394.1,-16397.5,0.325712,0.173672,NA,NA,NA,NA,|MMETSP0942_Cafeteria_roenbergensis_E4_10_23-1507
query.align,JX661028.1.1571_U_10_S55_34639,1,224,0.685766,0.651389,-16511.2,-16513.3,8.24284e-06,0.0827105,NA,NA,NA,NA,|JX6610281_Pelagodinium_sp_AC240_1-1453
query.align,HQ870129.1.849_U_M364_S14_29941,1,160,1,1,-16600.7,-16603.6,0.0668499,0.140153,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,KC488342.1.1710_U_19_S64_47793,1,158,0.615843,0.666378,-16567.5,-16571.4,0.0292347,0.296591,NA,NA,NA,NA,|AF1686251_Rhodosorus_marinus_77-1588
query.align,GU821254.1.1407_U_M360_S11_72137,1,481,0.997025,0.999145,-16558.3,-16563.3,0.257953,0.356341,NA,NA,NA,NA,|JN8111521_Amphilonche_elongata_Ei27_65-1577
query.align,HQ867560.1.865_U_24_S69_45979,1,197,0.233377,0.414344,-16264.1,-16268.7,0.00380704,0.392769,NA,NA,NA,NA,|AJ4155111_Gonyaulax_polyedra_58-1575
query.align,FJ431500.1.820_U_41_S86_68885,1,534,0.295265,0.3041,-16272.6,-16274.8,0.0260937,0.127438,NA,NA,NA,NA,|MMETSP1101_Rhodomonas_abbreviata_CaronLabIsolate_76-1589
query.align,GU824813.1.1070_U_M368_S12_48375,1,233,0.426107,0.380265,-16524.4,-16526.5,0.0185097,0.131906,NA,NA,NA,NA,|EF4924961_Symbiodinium_microadriaticum_NEPCC737_75-1596
query.align,HQ867323.1.882_U_11_S56_534,1,499,0.996448,0.998076,-15996.5,-16003,0.108431,0.522568,NA,NA,NA,NA,|MMETSP0232_Debaryomyces_hansenii_J26_79-1593
query.align,AF488386.1.1770_U_6_S51_33377,1,146,0.891953,0.894446,-16252.1,-16261.5,0.00300922,0.793581,NA,NA,NA,NA,|MMETSP0312_Compsopogon_coeruleus_SAG36_94_45-1562
query.align,FR874483.1.1761_U_16_S61_48770,1,252,0.421133,0.480886,-16037.5,-16040.7,0.0681033,0.24424,NA,NA,NA,NA,|MMETSP1018_Anophryoides_haemophila_AH6_79-1571
query.align,AJ867014.1.1548_U_27_S72_40757,1,330,0.681968,0.805387,-16639.6,-16641.4,7.76919e-06,0.0825608,NA,NA,NA,NA,|KF1777751_Nitzschia_laevis_UTEX2047_31-1556
query.align,GU819408.1.1363_U_M356_S18_78679,1,270,0.870212,0.924437,-16036.4,-16041.3,0.298068,0.352498,NA,NA,NA,NA,|MMETSP0209_Litonotus_pictus_P1_60-1484
query.align,KJ757751.1.1798_U_17_S62_45845,1,173,0.13714,0.147794,-16544.6,-16546,0.00172256,0.0669723,NA,NA,NA,NA,|KT8609541_Gymnodinium_sp_RCC2545_1-1508
query.align,GU385611.1.1712_U_15_S60_13733,1,486,0.995632,0.998433,-16304.9,-16308.8,0.0510404,0.288385,NA,NA,NA,NA,|MMETSP0086_Unidentifiedeukaryote_sp_D1_1-1472
query.align,HQ865753.1.880_U_16_S61_15950,1,160,0.945221,0.929171,-16305.7,-16310.3,0.185941,0.337581,NA,NA,NA,NA,|MMETSP0795_Amoebophrya_sp_Ameob2_70-1590
query.align,JN098230.1.1702_U_33_S78_25641,1,190,1,1,-16384.8,-16388.4,6.5051e-06,0.0542546,NA,NA,NA,NA,|MMETSP0196_Alexandrium_fundyense_CCMP1719_24-1540
query.align,GQ863815.1.1600_U_10_S55_46378,1,488,0.834133,0.734433,-16154.3,-16158.3,0.0806957,0.239053,NA,NA,NA,NA,|MMETSP0110_Gymnochlora_sp_CCMP2014_60-1577
query.align,HQ864929_12_S57_31462,1,118,0.512712,0.419089,-16537.5,-16539.9,0.0481578,0.120371,NA,NA,NA,NA,|KT8786701_Chrysochromulina_sp_RCC390_60-1577
query.align,KJ762048.1.1799_U_M371_S23_5631,1,206,0.218558,0.287863,-16640.3,-16641.8,5.72608e-06,0.093474,NA,NA,NA,NA,|EF4925001_Heterocapsa_pygmaea_CCMP1322_24-1544
query.align,AY664890.1.1755_U_M357_S21_36938,1,206,0.249197,0.284691,-16436.7,-16438.1,5.72608e-06,0.0852798,NA,NA,NA,NA,|EF4925001_Heterocapsa_pygmaea_CCMP1322_24-1544
query.align,KF031828.1.1755_U_17_S62_50535,1,185,0.352039,0.511998,-15160.5,-15164.9,0.120409,0.383615,NA,NA,NA,NA,|MMETSP1424_Oxyrrhis_marina_LB1974_1-1182
query.align,HQ438140.1.1619_U_M355_S26_3974,1,172,0.192849,0.230249,-16530.4,-16531.9,0.0237945,0.0714428,NA,NA,NA,NA,|KT8609541_Gymnodinium_sp_RCC2545_1-1508
